term;type;url
"abductive reasoning";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d096be"
"abstract analogy";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d096e3"
"abstract knowledge";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d096f0"
"acoustic coding";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d096fc"
"acoustic encoding";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09707"
"acoustic phonetic processing";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09713"
"acoustic processing";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0971e"
"action";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09735"
"action initiation";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b5c0"
"action perception";"concept";"http://www.cognitiveatlas.org/id/trm_5159c00c3dac3"
"activation";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09741"
"activation level";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0974d"
"active maintenance";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0ba0d"
"active recall";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b8b5"
"active retrieval";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b8c1"
"acuity";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b98a"
"adaptation";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09758"
"adaptive control";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09764"
"addiction";"concept";"http://www.cognitiveatlas.org/id/trm_4fafd1626bf2b"
"affect perception";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09770"
"affect recognition";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0977b"
"agency";"concept";"http://www.cognitiveatlas.org/id/trm_5154b2f947fe9"
"agreeableness";"concept";"http://www.cognitiveatlas.org/id/trm_523f5ee64102c"
"altruism";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d097b4"
"altruistic motivation";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d097bf"
"alveolar";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d097cb"
"amodal representation";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d097d6"
"analog representation";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d097e2"
"analogical encoding";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d097ed"
"analogical inference";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d097f9"
"analogical problem solving";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09804"
"analogical reasoning";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09810"
"analogical transfer";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0981b"
"analogy";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09827"
"anchoring";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09833"
"anhedonia";"concept";"http://www.cognitiveatlas.org/id/trm_52583dceb345e"
"animacy decision";"concept";"http://www.cognitiveatlas.org/id/trm_557b471bc6cd8"
"animacy perception";"concept";"http://www.cognitiveatlas.org/id/trm_5159beaf80413"
"anticipation";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09849"
"antisocial personality";"concept";"http://www.cognitiveatlas.org/id/trm_523e024c14df9"
"anxiety";"concept";"http://www.cognitiveatlas.org/id/trm_5022ef7599294"
"apparent motion";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09855"
"apperception";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0986c"
"appetite";"concept";"http://www.cognitiveatlas.org/id/trm_52583e083c9ab"
"appetitive motivation";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09877"
"arithmetic processing";"concept";"http://www.cognitiveatlas.org/id/trm_558c7ae1eaf86"
"arousal";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09883"
"articulation";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0988f"
"articulatory loop";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0ba19"
"articulatory planning";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0989a"
"articulatory rehearsal";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d098a6"
"assimilation";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d098b2"
"association";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d098bd"
"association learning";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d098c9"
"associative priming";"concept";"http://www.cognitiveatlas.org/id/trm_5521a5f310604"
"attachment";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d098e0"
"attended channel";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d098eb"
"attended stimulus";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d098f7"
"attention";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09902"
"attention capacity";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0990e"
"attention shift";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b5d7"
"attention shifting";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b5fb"
"attention span";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b5e3"
"attentional bias";"concept";"http://www.cognitiveatlas.org/id/trm_510059e54b2cf"
"attentional blink";"concept";"http://www.cognitiveatlas.org/id/trm_4fea1aeaa7b17"
"attentional effort";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09919"
"attentional focusing";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b5ef"
"attentional resources";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09925"
"attentional state";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09930"
"attitude";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09947"
"audiovisual perception";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09953"
"audition";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0995e"
"auditory arithmetic processing";"concept";"http://www.cognitiveatlas.org/id/trm_55b6b8e291dba"
"auditory attention";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09a10"
"auditory coding";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09a3d"
"auditory encoding";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09a49"
"auditory feedback";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09a55"
"auditory grouping";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09a61"
"auditory imagery";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09a6c"
"auditory learning";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09a78"
"auditory lexical access";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09a84"
"auditory localization";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09a8f"
"auditory masking";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09a9b"
"auditory memory";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09aa7"
"auditory perception";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09ab2"
"auditory recognition";"concept";"http://www.cognitiveatlas.org/id/trm_55ef687f48a9d"
"auditory scene";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09abe"
"auditory scene analysis";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09aca"
"auditory sentence comprehension";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09ad5"
"auditory sentence processing";"concept";"http://www.cognitiveatlas.org/id/trm_55b6b89222d4c"
"auditory sentence recognition";"concept";"http://www.cognitiveatlas.org/id/trm_558c7b14c076e"
"auditory stream segregation";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09ae1"
"auditory tone detection";"concept";"http://www.cognitiveatlas.org/id/trm_557b474e2b578"
"auditory tone discrimination";"concept";"http://www.cognitiveatlas.org/id/trm_557b476527a27"
"auditory tone perception";"concept";"http://www.cognitiveatlas.org/id/trm_55ef273a77a86"
"auditory word comprehension";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09aed"
"auditory word recognition";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09af8"
"auditory working memory";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09b04"
"autobiographical memory";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09b10"
"autobiographical recall";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09b1c"
"automaticity";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09b28"
"autonoesis";"concept";"http://www.cognitiveatlas.org/id/trm_4ff1fc04e22e8"
"availability heuristic";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09b33"
"aversive learning";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09b3f"
"backward chaining";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09b62"
"balance";"concept";"http://www.cognitiveatlas.org/id/trm_50eb56a7867db"
"behavioral inhibition";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09b79"
"behavioral inhibition (cognitive)";"concept";"http://www.cognitiveatlas.org/id/trm_4b7c270940f9d"
"behavioral inhibition (temperament)";"concept";"http://www.cognitiveatlas.org/id/trm_4b7c27094a093"
"belief";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09b85"
"binocular convergence";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09b9c"
"binocular depth cue";"concept";"http://www.cognitiveatlas.org/id/trm_4fea04a02ce37"
"binocular disparity";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09bb3"
"binocular rivalry";"concept";"http://www.cognitiveatlas.org/id/trm_500d8626d0770"
"binocular vision";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09bbf"
"bitterness";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09bcb"
"blindsight";"concept";"http://www.cognitiveatlas.org/id/trm_5029515e29f7f"
"body maintenance";"concept";"http://www.cognitiveatlas.org/id/trm_557b477b4a15f"
"body orientation";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09be2"
"body representation";"concept";"http://www.cognitiveatlas.org/id/trm_4e5505361f160"
"border ownership";"concept";"http://www.cognitiveatlas.org/id/trm_502ab8dd991bf"
"capacity limitation";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09bee"
"case based reasoning";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09bf9"
"categorical clustering";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09c05"
"categorical knowledge";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09c11"
"categorical perception";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09c1c"
"categorization";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09c28"
"category based induction";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09c34"
"category learning";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09c3f"
"causal inference";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09c5b"
"central attention";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09c69"
"central coherence";"concept";"http://www.cognitiveatlas.org/id/trm_4b82c75498408"
"central executive";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0ba25"
"centration";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09c74"
"change blindness";"concept";"http://www.cognitiveatlas.org/id/trm_4fea238758d33"
"chemonociception";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09c80"
"chromatic contrast";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09c97"
"chunk";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09ca3"
"chunking";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09cae"
"circadian rhythm";"concept";"http://www.cognitiveatlas.org/id/trm_5159c382bd8d4"
"cognitive control";"concept";"http://www.cognitiveatlas.org/id/trm_4aae62e4ad209"
"cognitive development";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09d35"
"cognitive dissonance";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09d41"
"cognitive effort";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09d4d"
"cognitive heuristic";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09d58"
"cognitive load";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09d64"
"cognitive map";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09d70"
"cognitive training";"concept";"http://www.cognitiveatlas.org/id/trm_51a6905a3f021"
"color constancy";"concept";"http://www.cognitiveatlas.org/id/trm_4fea09fac5316"
"color perception";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09d93"
"color recognition";"concept";"http://www.cognitiveatlas.org/id/trm_557b478ce1c24"
"communication";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09d9e"
"competition";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09daa"
"concept";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09db6"
"concept learning";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09dc1"
"conceptual category";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09dcd"
"conceptual coherence";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09dd9"
"conceptual metaphor";"concept";"http://www.cognitiveatlas.org/id/trm_4d920c905d465"
"conceptual planning";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09de4"
"conceptual priming";"concept";"http://www.cognitiveatlas.org/id/trm_5521a2aa5b127"
"conceptual skill";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09df0"
"conceptualization";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09dfc"
"conditional reasoning";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09e07"
"conduct disorder";"concept";"http://www.cognitiveatlas.org/id/trm_523e00f356226"
"cone of confusion";"concept";"http://www.cognitiveatlas.org/id/trm_500d8839c2877"
"confidence judgment";"concept";"http://www.cognitiveatlas.org/id/trm_55ef153d47bc0"
"conflict adaptation effect";"concept";"http://www.cognitiveatlas.org/id/trm_5358ede949107"
"conflict detection";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09e13"
"conjunction search";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09e1e"
"connotation";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09e2a"
"consciousness";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09e35"
"consolidation";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d0b8cd"
"constancy";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09e58"
"constituent structure";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09e64"
"context";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09e6f"
"context dependent";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09e7b"
"context memory";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09e87"
"Context representation";"concept";"http://www.cognitiveatlas.org/id/trm_56798c5f25b0c"
"contextual knowledge";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09e93"
"contingency learning";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09e9e"
"contrastive stress";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09eaa"
"conventionality";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09eb6"
"convergent thinking";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09ece"
"conversation";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09eda"
"conversational skill";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09ee6"
"conversational speech";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09ef0"
"conversational structure";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09efb"
"coordination";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09f07"
"coproduction";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09f12"
"coreference";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09f1e"
"covert attention";"concept";"http://www.cognitiveatlas.org/id/trm_4feb3ffa1ab51"
"creative cognition";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09f2a"
"creative problem solving";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09f36"
"creative thinking";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09f42"
"critical period";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09f4d"
"crossmodal";"concept";"http://www.cognitiveatlas.org/id/trm_4e31d2241319f"
"crosstalk";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09f59"
"crowding";"concept";"http://www.cognitiveatlas.org/id/trm_502c139d5ed78"
"crystallized intelligence";"concept";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09f64"
