id;id_user;id_term;condition_text; condition_description; event_stamp
"con_4b1969ec123ec";"usr_0000000000";"trm_4b1968619b00b";"congruent";"The color and word names match";"2009-12-04 19:58:36"
"con_4b1969ffa6857";"usr_0000000000";"trm_4b1968619b00b";"incongruent";"The color and word names conflict with one another";"2009-12-04 19:58:55"
"con_4b196a106c24a";"usr_0000000000";"trm_4b1968619b00b";"neutral";"The word is not a color name";"2009-12-04 19:59:12"
"con_4b44a4d54233a";"usr_49a467bf4e0db";"tsk_4a57abb949e1a";"Go trial";"Trials on which a go stimulus is presented and the subject is expected to respond";"2010-01-06 14:57:25"
"con_4b44a4f3505bb";"usr_49a467bf4e0db";"tsk_4a57abb949e1a";"Stop trial";"Trials on which a stop signal is presented at some delay (stop-signal delay) following the go stimulus, and the subject is expected to stop";"2010-01-06 14:57:55"
"con_4b4a2f2e253fc";"usr_49a467bf4e0db";"tsk_4a57abb949a93";"Go trials";"Trials on which the stimulus is in the go category";"2010-01-10 19:49:02"
"con_4b4a2f46e10c3";"usr_49a467bf4e0db";"tsk_4a57abb949a93";"Stop trial";"Trials on which the stimulus is in the stop category";"2010-01-10 19:49:26"
"con_4b4a51b665917";"usr_49a467bf4e0db";"tsk_4a57abb949bcd";"0-back";"A condition requiring stimulus matching but not working memory";"2010-01-10 22:16:22"
"con_4b4a51d944c3e";"usr_49a467bf4e0db";"tsk_4a57abb949bcd";"3-back";"A condition requiring memory for stimuli occurring 3 stimuli back";"2010-01-10 22:16:57"
"con_4b4a538ded442";"usr_49a467bf4e0db";"trm_4b4a537644d76";"Target";"The stimulus to be responded to";"2010-01-10 22:24:13"
"con_4b4a53b3e6eb5";"usr_49a467bf4e0db";"trm_4b4a537644d76";"Nontarget";"Any stimulus other than the target";"2010-01-10 22:24:51"
"con_4b4a54736e57a";"usr_49a467bf4e0db";"tsk_4a57abb949bcd";"1-back";"A condition requiring memory for stimuli occurring 1 stimuli back";"2010-01-10 22:28:03"
"con_4b4a5481d9f61";"usr_49a467bf4e0db";"tsk_4a57abb949bcd";"2-back";"A condition requiring memory for stimuli occurring 2 stimuli back";"2010-01-10 22:28:17"
"con_4b4a5490ef92f";"usr_49a467bf4e0db";"tsk_4a57abb949bcd";"3-back";"A condition requiring memory for stimuli occurring 3 stimuli back";"2010-01-10 22:28:32"
"con_4b4a5f6515553";"usr_49a467bf4e0db";"tsk_4a57abb9499f1";"no delay";"No delay between initial presentation and probe";"2010-01-10 23:14:45"
"con_4b4a5f854160f";"usr_49a467bf4e0db";"tsk_4a57abb9499f1";"delay";"Probe presentation follows a delay after initial presentation";"2010-01-10 23:15:17"
"con_4b65e60a2cd66";"usr_4b64af5545a03";"trm_4b65e5e2ab3ca";"Matching";"The word and picture refer to the same concept";"2010-01-31 20:20:26"
"con_4b65e62c517d4";"usr_4b64af5545a03";"trm_4b65e5e2ab3ca";"Non-matching";"The word and picture refer to different concepts";"2010-01-31 20:21:00"
"con_4b7c0325a84d2";"usr_49a467bf4e0db";"trm_4b749b8829eee";"Segmented blocks";"";"2010-02-17 14:54:29"
"con_4b7c03351da6c";"usr_49a467bf4e0db";"trm_4b749b8829eee";"Unsegmented blocks";"";"2010-02-17 14:54:45"
"con_4b7c041db7971";"usr_49a467bf4e0db";"trm_4b75ea4ddd896";"Difficulty Level 1";"All three stimulus dimensions must match";"2010-02-17 14:58:37"
"con_4b7c04350b339";"usr_49a467bf4e0db";"trm_4b75ea4ddd896";"Difficulty Level 2";"Only two stimulus dimensions must match";"2010-02-17 14:59:01"
"con_4b7c044e53f9e";"usr_49a467bf4e0db";"trm_4b75ea4ddd896";"Difficulty Level 3";"Only one stimulus dimension must match";"2010-02-17 14:59:26"
