term;type;url
"";"task";"http://www.cognitiveatlas.org/id/trm_4f244f46ebf58"
"2-stage decision task";"task";"http://www.cognitiveatlas.org/id/trm_5667451917a34"
"2nd-order rule acquisition";"task";"http://www.cognitiveatlas.org/id/trm_5667441c338a7"
"aberrant behavior checklist - community";"task";"http://www.cognitiveatlas.org/id/trm_523c7a0a73cf5"
"abstract/concrete judgment: bilingual";"task";"http://www.cognitiveatlas.org/id/trm_4ebd44cd88360"
"abstract/concrete task";"task";"http://www.cognitiveatlas.org/id/trm_4f24126c22011"
"Acquired Equivalence";"task";"http://www.cognitiveatlas.org/id/trm_551f151f7347e"
"action imitation task";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb94981d"
"action observation task";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949846"
"action-perception loop";"task";"http://www.cognitiveatlas.org/id/trm_551b15af981c6"
"acupuncture task";"task";"http://www.cognitiveatlas.org/id/trm_4c8989e1f3df7"
"Adaptation of marshmellow test";"task";"http://www.cognitiveatlas.org/id/trm_56674e49d15e9"
"adaptive n-back task";"task";"http://www.cognitiveatlas.org/id/trm_56674133b666c"
"adolescent symptom inventory";"task";"http://www.cognitiveatlas.org/id/trm_523df616da8a6"
"Adult ADHD Clinical Diagnostic Scale";"task";"http://www.cognitiveatlas.org/id/trm_5586ff878155d"
"Adult ADHD Self-Report Scale";"task";"http://www.cognitiveatlas.org/id/trm_55a6a79b55c8b"
"adult attachment interview";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949858"
"adult behavior checklist";"task";"http://www.cognitiveatlas.org/id/trm_523ca67b786d5"
"alternating runs paradigm";"task";"http://www.cognitiveatlas.org/id/trm_4da88b8b60ffb"
"ambiguous figure task";"task";"http://www.cognitiveatlas.org/id/trm_502abd109f255"
"analogical reasoning task";"task";"http://www.cognitiveatlas.org/id/trm_4f244f0286947"
"Angling Risk Task";"task";"http://www.cognitiveatlas.org/id/trm_5667488d52ccc"
"animal naming task";"task";"http://www.cognitiveatlas.org/id/trm_4da88bd4412da"
"ANT task";"task";"http://www.cognitiveatlas.org/id/trm_551f0857e1db8"
"antisaccade/prosaccade task";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949869"
"apparent verticality judgment";"task";"http://www.cognitiveatlas.org/id/trm_502ad907e3299"
"articulatory suppression task";"task";"http://www.cognitiveatlas.org/id/trm_50f5822624e53"
"artificial grammar learning task";"task";"http://www.cognitiveatlas.org/id/trm_4f244a88013ae"
"associative memory encoding task";"task";"http://www.cognitiveatlas.org/id/trm_553ec64e6cb1b"
"attention bias";"task";"http://www.cognitiveatlas.org/id/trm_50df0d8dc717b"
"attention networks test";"task";"http://www.cognitiveatlas.org/id/trm_4da6304c9aa23"
"attention switching task";"task";"http://www.cognitiveatlas.org/id/trm_4f241614d4a25"
"attentional blink paradigm";"task";"http://www.cognitiveatlas.org/id/trm_551f06a08dcc4"
"audio narrative";"task";"http://www.cognitiveatlas.org/id/trm_5550e5011ce10"
"audio-visual target detection task";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949889"
"auditory masking task";"task";"http://www.cognitiveatlas.org/id/trm_551b1b6f6a262"
"auditory scene perception";"task";"http://www.cognitiveatlas.org/id/trm_551b1460e89a3"
"auditory temporal discrimination task";"task";"http://www.cognitiveatlas.org/id/trm_4f240e7f989f8"
"autism diagnostic interview - revised";"task";"http://www.cognitiveatlas.org/id/trm_525d847e2bd0b"
"autism diagnostic observation schedule";"task";"http://www.cognitiveatlas.org/id/trm_4da891a546d8c"
"autism spectrum quotient";"task";"http://www.cognitiveatlas.org/id/trm_51d6fe3f3942f"
"autobiographical memory task";"task";"http://www.cognitiveatlas.org/id/trm_4f244d2a54e27"
"AX-CPT task";"task";"http://www.cognitiveatlas.org/id/trm_4c40d2a93ea15"
"AX-DPX";"task";"http://www.cognitiveatlas.org/id/trm_515495b718cd6"
"backward digit span task";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb94989b"
"backward masking";"task";"http://www.cognitiveatlas.org/id/trm_4a3fd79d09b6d"
"balloon analogue risk task (BART)";"task";"http://www.cognitiveatlas.org/id/trm_4d559bcd67c18"
"Barratt Impulsiveness Scale";"task";"http://www.cognitiveatlas.org/id/trm_55a6a8e81b7f4"
"battelle developmental inventory";"task";"http://www.cognitiveatlas.org/id/trm_523e10cad0ce6"
"Becker-Degroot-Marschak (BDM) procedure";"task";"http://www.cognitiveatlas.org/id/trm_553e77887abc7"
"beery-buktenica developmental test of visual-motor integration";"task";"http://www.cognitiveatlas.org/id/trm_523f58d91f2c0"
"behavioral investment allocation strategy (BIAS)";"task";"http://www.cognitiveatlas.org/id/trm_4d54b8361e93e"
"behavioral rating inventory of executive function";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb9498ab"
"Benton facial recognition test";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb9498bc"
"big five questionnaire";"task";"http://www.cognitiveatlas.org/id/trm_523f5c17d7edb"
"big/little circle";"task";"http://www.cognitiveatlas.org/id/trm_50f72fafa53ec"
"bimanual coordination task";"task";"http://www.cognitiveatlas.org/id/trm_4f244f997615c"
"biological motion task";"task";"http://www.cognitiveatlas.org/id/trm_4f245326e2eaf"
"Birmingham object recognition battery";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb9498ce"
"Bistability";"task";"http://www.cognitiveatlas.org/id/trm_5519c4bb1d1ee"
"Bistable percept paradigm";"task";"http://www.cognitiveatlas.org/id/trm_553fce5d21da7"
"block design test";"task";"http://www.cognitiveatlas.org/id/trm_4b7497a289534"
"block tapping test";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb9498df"
"Blocked channel-selection task";"task";"http://www.cognitiveatlas.org/id/trm_551f0757982bc"
"boston naming test";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb9498ef"
"braille reading task";"task";"http://www.cognitiveatlas.org/id/trm_4c898a20eb254"
"breath-holding";"task";"http://www.cognitiveatlas.org/id/trm_4c898a680e424"
"Brief Psychiatric Rating Scale";"task";"http://www.cognitiveatlas.org/id/trm_55a6a52537c2b"
"brief symptom inventory";"task";"http://www.cognitiveatlas.org/id/trm_52405b6f7ebe9"
"Brixton spatial anticipation test";"task";"http://www.cognitiveatlas.org/id/trm_4da88c5302e06"
"broad autism phenotype questionnaire";"task";"http://www.cognitiveatlas.org/id/trm_523dfd5b7a9f1"
"broader phenotype autism symptom scale";"task";"http://www.cognitiveatlas.org/id/trm_524055ac4fecf"
"California Verbal Learning Test";"task";"http://www.cognitiveatlas.org/id/trm_4da6331cdeeb5"
"California Verbal Learning Test-II";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949900"
"Cambridge Face Memory Test";"task";"http://www.cognitiveatlas.org/id/tsk_4a57abb949912"
"Cambridge Gambling Task";"task";"http://www.cognitiveatlas.org/id/trm_4d54b2cc0f943"
